ImageNumber,ObjectNumber,Classify_Class,Classify_Probability_Aggregated,Classify_Probability_Homogenous,Classify_Probability_Negative,Texture_SumVariance_GFPInput_10_00_256,Texture_SumVariance_GFPInput_10_01_256,Texture_SumVariance_GFPInput_10_02_256,Texture_SumVariance_GFPInput_10_03_256
1,1,Negative,0.01,0.01,0.98,66.87686171960038,66.13922599182251,66.53595718513961,66.8090676516901
1,2,Negative,0.02,0.02,0.96,68.32171643220866,68.02457958668128,68.3056498906374,69.01125725804545
1,3,Negative,0.01,0.0,0.99,69.31347825660504,67.97461657907945,67.73825436734347,69.3709925405503
1,4,Negative,0.01,0.02,0.97,67.3415214959663,67.91810239165486,69.28970240036978,68.00544225737045
1,5,Negative,0.02,0.0,0.98,70.09057070367513,67.00601705582176,68.99891328268549,68.71547242173088
1,6,Negative,0.0,0.0,1.0,62.825181021464005,62.966015674733626,62.739283119348954,62.56834487435921
1,7,Negative,0.01,0.0,0.99,65.0180730739213,65.68729124609271,65.16838573184046,66.10336962652661
1,8,Negative,0.01,0.01,0.98,64.01885293494183,63.142736176571134,63.94659192326392,64.05018812245038
1,9,Negative,0.01,0.0,0.99,67.3678520443847,67.25710929329986,68.0301864339124,66.41889663733372
1,10,Negative,0.0,0.0,1.0,65.98809509125894,65.49048819350759,66.15339538768549,68.51779890325301
1,11,Negative,0.01,0.02,0.97,70.64419061237211,70.66922429080375,72.1873633863685,71.01864872741714
1,12,Negative,0.01,0.02,0.97,70.20427485891432,70.19548643578614,69.77101362351706,69.31679659176146
1,13,Negative,0.0,0.02,0.98,71.14428115672789,72.51856627276072,72.3703147381043,71.1968700573427
1,14,Negative,0.01,0.0,0.99,69.30730978697909,67.62171025471727,66.67138178980224,69.37313144982255
1,15,Negative,0.01,0.0,0.99,65.97002633016757,66.31063738986902,66.44745665616827,65.66853287241423
1,16,Negative,0.0,0.0,1.0,64.6420146782435,63.28288883610065,63.2819906008819,64.17969589177002
1,17,Negative,0.01,0.02,0.97,72.46422077770626,70.2846207153512,74.22653565428101,71.3147810128232
1,18,Negative,0.0,0.02,0.98,70.78027301109651,70.06561038761751,69.82584910663772,69.46427169892581
1,19,Negative,0.01,0.02,0.97,69.80543118194157,70.61006318426814,69.22312154235283,70.09045576402201
1,20,Negative,0.0,0.02,0.98,68.39693232150245,67.25469984980779,65.02635240753662,67.62492751155833
1,21,Negative,0.01,0.02,0.97,68.48480260515748,67.5572913543077,66.66154690436076,66.93870000306748
1,22,Negative,0.0,0.0,1.0,65.04787704645256,65.82792028019324,65.40496924313592,64.30505337463592
1,23,Negative,0.0,0.0,1.0,66.55432476600257,65.39147688885629,65.70635713841631,65.7457534627325
1,24,Negative,0.0,0.0,1.0,67.68254616489759,68.90528940575277,65.58569572303884,66.19209897750483
