ImageNumber,ObjectNumber,Classify_Class,Classify_Probability_Aggregated,Classify_Probability_Homogenous,Classify_Probability_Negative,Texture_SumVariance_GFPInput_10_00_256,Texture_SumVariance_GFPInput_10_01_256,Texture_SumVariance_GFPInput_10_02_256,Texture_SumVariance_GFPInput_10_03_256
1,1,Negative,0.0,0.02,0.98,79.67718768734375,80.94674428187272,79.34925133377374,79.72613160771007
1,2,Aggregated,0.67,0.32,0.01,622.1602150381577,620.9296942965416,625.4364392568814,619.605656430731
1,3,Negative,0.0,0.02,0.98,81.78333554149691,80.90916474618524,80.50213748259671,81.64849910949636
1,4,Negative,0.0,0.02,0.98,79.03738135679322,77.4962730019304,79.07867385559808,79.24289998026848
1,5,Negative,0.0,0.02,0.98,84.22679858757425,85.27931652851214,84.57953195860466,82.15069152170196
1,6,Negative,0.01,0.02,0.97,81.05775027372567,81.46421210929014,81.72444124124638,83.4885233063165
1,7,Negative,0.0,0.02,0.98,84.32594719610148,84.43599704140519,85.31079978082192,84.78332867269359
1,8,Negative,0.01,0.02,0.97,78.4257522958965,78.35233491452357,79.77744370160252,79.77226848013325
1,9,Negative,0.03,0.03,0.94,96.41649970997742,97.89706731574,97.24945421047572,93.00292846141332
1,10,Negative,0.01,0.04,0.95,86.86886239130388,88.89862929852774,87.70816687039019,88.06005640933421
1,11,Negative,0.0,0.02,0.98,85.96953914346847,87.77010402017117,86.43962654534835,85.97688544296699
1,12,Homogenous,0.11,0.89,0.0,478.8134869165019,479.0544372485392,481.0686144934134,476.5671687147901
1,13,Negative,0.02,0.09,0.89,83.56969826713106,83.93128959871183,82.10343941583739,84.69653220253326
1,14,Aggregated,1.0,0.0,0.0,1662.3963581945168,1606.991417000947,1661.8305518158563,1609.6981378212672
1,15,Aggregated,0.9,0.1,0.0,1025.4343390687432,988.3240248739744,1013.8010044371445,981.5158141357332
1,16,Aggregated,0.95,0.03,0.02,691.5038264893115,662.6891172411006,692.1157104303502,686.1241520867297
1,17,Negative,0.01,0.02,0.97,90.58954086536818,88.5121402770933,88.51443165894023,91.63679883699795
1,18,Negative,0.0,0.02,0.98,83.57805743815362,85.53287187727597,83.37716228795375,84.24154352074595
1,19,Aggregated,0.54,0.45,0.01,625.4833766731804,621.6923513078295,628.4117525083639,625.8223407888968
2,1,Negative,0.02,0.01,0.97,76.37121232378146,77.37145804127348,78.93418427749478,79.06332483326048
2,2,Negative,0.0,0.02,0.98,81.22395280426866,81.21621133731077,80.51387729733949,78.36162947423873
2,3,Negative,0.0,0.02,0.98,82.60254242889238,80.87217079558025,82.33463296754229,81.90780330016878
2,4,Negative,0.01,0.02,0.97,74.68190008262272,74.66810543861999,76.64958072557934,77.71591776279155
2,5,Negative,0.0,0.02,0.98,79.21292485901535,81.36501449802182,80.4392693274296,79.74828497749934
2,6,Aggregated,0.95,0.05,0.0,1581.5412376030426,1570.497366930646,1595.3384016529894,1553.3012844458794
2,7,Negative,0.0,0.02,0.98,81.87714297524445,83.15996819193538,83.76756841145783,82.66634776403617
2,8,Negative,0.0,0.02,0.98,86.75120976326946,87.6273943398727,85.80765163288396,86.73644785745444
2,9,Negative,0.0,0.03,0.97,85.8626720261156,85.85669885651907,86.85119536111176,86.92883102238818
2,10,Negative,0.02,0.01,0.97,79.13782245243237,80.06597474242105,81.07063763373162,80.5896378377929
2,11,Negative,0.0,0.02,0.98,97.95882044341784,96.95073266341392,96.24355523298595,98.09122556314668
2,12,Negative,0.02,0.01,0.97,83.90786561700838,84.46907869809894,82.1931197283318,82.42317701965862
2,13,Homogenous,0.07,0.91,0.02,332.47295446967814,328.5525912296646,331.4732472110377,332.3351619464231
2,14,Negative,0.0,0.02,0.98,83.91780848124142,85.60443282642035,85.01435016975677,84.50968111965636
2,15,Negative,0.0,0.02,0.98,85.63016027463948,85.82809862519383,85.54010075891807,84.24170552943252
2,16,Negative,0.01,0.02,0.97,81.3586114826702,83.37076155685111,81.51612767625426,79.76693799163326
2,17,Negative,0.0,0.02,0.98,86.40097915617952,85.86681033878733,87.06389686174236,86.23807771840995
2,18,Aggregated,0.53,0.46,0.01,640.0528983714698,630.8717398728822,636.3261550556044,631.4066147530639
2,19,Negative,0.0,0.02,0.98,85.96862593132602,84.92388662790916,85.04102737296012,82.98747409669096
2,20,Negative,0.0,0.02,0.98,83.67585147168279,83.6660764246821,83.9924963745649,82.83904730338105
2,21,Negative,0.0,0.02,0.98,86.59288858907888,85.54641914396188,86.70408985756808,86.61362224458287
2,22,Homogenous,0.11,0.87,0.02,370.6758740209853,371.3568721046163,372.2832689562224,371.4110692440936
2,23,Aggregated,0.9,0.1,0.0,946.9265720411267,929.858147956902,944.1029505072356,914.4053986003428
2,24,Negative,0.0,0.02,0.98,82.59231047741753,83.18314723881883,82.01908209816946,81.62005352707467
2,25,Negative,0.0,0.04,0.96,88.21543692043946,90.1274285828398,86.95733494780438,87.30135945922115
2,26,Negative,0.0,0.02,0.98,84.70341805423055,84.03144227263755,85.30391337743987,84.07230351162394
2,27,Negative,0.02,0.01,0.97,83.09903197485255,85.53426086371422,84.09797402654038,82.93449459773973
