ImageNumber,ObjectNumber,Classify_Class,Classify_Probability_Aggregated,Classify_Probability_Homogenous,Classify_Probability_Negative,Texture_SumVariance_GFPInput_10_00_256,Texture_SumVariance_GFPInput_10_01_256,Texture_SumVariance_GFPInput_10_02_256,Texture_SumVariance_GFPInput_10_03_256
1,1,Aggregated,0.76,0.23,0.01,951.954825434448,935.1142902514875,948.7234777459198,947.5191513303224
1,2,Negative,0.0,0.02,0.98,87.6429796450858,87.37046953646262,86.45785720431849,87.04981570177972
1,3,Negative,0.0,0.02,0.98,88.00913730901357,89.34340845748869,88.46346605139792,87.89666875236946
1,4,Aggregated,0.73,0.27,0.0,823.9013591729927,812.0840217998466,816.9338298963112,817.1905248578032
1,5,Negative,0.01,0.02,0.97,83.40681875477429,82.71277703530359,81.26177142166813,84.79892567233657
1,6,Negative,0.0,0.02,0.98,86.48596774223506,88.00304597660516,87.78299457769464,86.84966815976327
1,7,Negative,0.01,0.02,0.97,81.08144998471994,81.95715019195148,80.75473015927543,81.95401105888288
1,8,Negative,0.0,0.02,0.98,83.75153683642861,82.92948155223115,83.87702874357586,85.90713626731991
1,9,Negative,0.0,0.02,0.98,77.7230936771077,78.53970143747276,79.0070269140281,76.51163215103091
1,10,Negative,0.0,0.02,0.98,90.89177219946056,90.54402474788655,90.5626924206552,90.30774472847014
1,11,Aggregated,0.98,0.01,0.01,1927.181134522997,1900.4088151703545,1913.322085698792,1843.844147203402
1,12,Aggregated,0.58,0.42,0.0,935.0991373341612,909.806590970361,937.388542361572,930.1494442908232
1,13,Homogenous,0.2,0.8,0.0,518.152089808611,518.616742573754,520.4808760072997,520.1047331062491
1,14,Negative,0.0,0.02,0.98,88.04467181822451,88.6297298691008,88.8983169913651,89.2078630818566
1,15,Aggregated,0.97,0.03,0.0,2018.4415018015495,1919.2141921775672,2032.4562797464637,1991.5294974820404
1,16,Negative,0.01,0.02,0.97,79.98839510775258,81.67852686652492,80.16805770851545,81.1961288424493
1,17,Aggregated,0.89,0.11,0.0,1125.6009018641894,1040.8440789356837,1140.7632278174583,1107.3465506902044
1,18,Negative,0.02,0.01,0.97,79.78370933240475,79.01969290584222,80.00005146445517,80.73174880525804
1,19,Negative,0.02,0.07,0.91,93.11483182403548,89.25601121795626,95.3187856733976,93.6487112605924
1,20,Negative,0.01,0.03,0.96,88.44768314102953,89.49389402576588,89.5371085326293,88.69049108267143
1,21,Negative,0.0,0.02,0.98,91.88064402492904,89.94370977450376,90.48641299778814,90.8555321464516
1,22,Homogenous,0.18,0.8,0.02,393.7475490754569,389.85134079368663,393.6870845218109,389.9821344778029
1,23,Homogenous,0.16,0.83,0.01,365.39228487663377,369.4725941047486,369.3305628933458,369.17011417696995
