ImageNumber,ObjectNumber,Classify_Class,Classify_Probability_Aggregated,Classify_Probability_Homogenous,Classify_Probability_Negative,Texture_SumVariance_GFPInput_10_00_256,Texture_SumVariance_GFPInput_10_01_256,Texture_SumVariance_GFPInput_10_02_256,Texture_SumVariance_GFPInput_10_03_256
1,1,Negative,0.0,0.0,1.0,64.49553580793665,62.76909618957493,62.957615136595365,63.34843936120404
1,2,Negative,0.0,0.0,1.0,64.28096338332702,63.59487399887979,61.27896201542475,61.27209025739097
1,3,Aggregated,0.68,0.29,0.03,437.49384959229474,427.15807656716765,432.02480080317105,432.5992582288227
1,4,Homogenous,0.23,0.72,0.05,249.1973702003121,246.6631072560258,247.6718073485472,250.11767287867383
1,5,Negative,0.0,0.02,0.98,65.92617499069348,65.90306948350982,68.03331454404915,67.71022960510666
1,6,Negative,0.0,0.02,0.98,79.7693261006834,78.78935973037633,79.86189606919024,76.84394580325488
1,7,Homogenous,0.35,0.6,0.05,339.85535851618374,333.7966957449312,343.8667370511157,332.8413316511919
1,8,Negative,0.01,0.02,0.97,107.99025447825328,108.31039293701131,108.62428331421546,109.20114660790132
1,9,Negative,0.0,0.0,1.0,64.92659134900057,64.7513147846272,65.86820865129286,66.26465176940084
1,10,Aggregated,0.91,0.09,0.0,577.1735663534992,573.8667336711326,580.9376770150498,563.3391362310724
1,11,Negative,0.0,0.03,0.97,65.42030505992528,63.06650120844316,66.57279011845085,64.85170614279036
1,12,Negative,0.01,0.02,0.97,61.71736619093471,65.42379162390387,60.31605409570514,60.89485101440869
1,13,Negative,0.0,0.0,1.0,64.19527373966122,66.38873398329119,66.17190834311765,67.74404168108197
1,14,Negative,0.01,0.0,0.99,59.89911295533537,61.37592085837022,61.73003384109364,61.0699498385886
1,15,Homogenous,0.22,0.75,0.03,308.79203878502994,306.7920284020274,303.2549657906336,296.9407762232795
1,16,Negative,0.0,0.02,0.98,73.1831009800434,76.44847888581492,74.88217984180181,73.68675260837517
1,17,Negative,0.0,0.01,0.99,65.23734344452541,66.30976874616243,66.24334924865482,65.82615314798974
1,18,Homogenous,0.36,0.63,0.01,386.41500689682994,387.4802825858869,384.61133230562905,387.29792772312953
