ImageNumber,ObjectNumber,Classify_Class,Classify_Probability_Aggregated,Classify_Probability_Homogenous,Classify_Probability_Negative,Texture_SumVariance_GFPInput_10_00_256,Texture_SumVariance_GFPInput_10_01_256,Texture_SumVariance_GFPInput_10_02_256,Texture_SumVariance_GFPInput_10_03_256
1,1,Negative,0.0,0.02,0.98,81.82197304811194,81.76506934306823,82.8633702240893,83.73321488329827
1,2,Negative,0.0,0.02,0.98,94.54010211054828,92.55632636816506,90.21592293424128,92.38351273033776
1,3,Negative,0.0,0.0,1.0,65.58435289184933,66.7925839632251,66.25995669874266,66.57596545363245
1,4,Homogenous,0.2,0.8,0.0,386.71803296719327,381.5831417664431,382.6831872559078,379.88312309796265
1,5,Homogenous,0.16,0.81,0.03,252.46050530673756,256.0599607424208,256.0554536336581,252.25400868966972
1,6,Aggregated,0.99,0.01,0.0,806.0368508699557,741.369245894005,775.0976023149105,739.0425977789555
1,7,Negative,0.0,0.0,1.0,67.43764062784547,66.95915577463683,69.79510841084618,68.3854325024131
1,8,Aggregated,0.99,0.01,0.0,1171.6756213539456,1083.7720759713438,1161.8504992698945,1064.8468320254074
1,9,Aggregated,0.98,0.02,0.0,896.4201083550374,821.694830994164,888.3448517970864,847.2103287925243
1,10,Negative,0.0,0.0,1.0,65.60872234413876,65.02981641762958,63.89434664345731,63.94836880217295
1,11,Negative,0.01,0.0,0.99,60.41784439257094,63.17872453660465,61.18039931615553,63.987697303129664
1,12,Aggregated,0.99,0.01,0.0,1176.0970396475682,1123.257800003963,1195.7719549214553,1103.3125836113863
1,13,Negative,0.0,0.02,0.98,76.8976376561385,79.46512941046805,76.61529498472177,78.0574699580267
1,14,Negative,0.01,0.02,0.97,99.16824799662815,98.18185107855902,98.54603029681806,97.9650941155556
1,15,Aggregated,0.85,0.15,0.0,1434.0320825366834,1315.445032480633,1447.2346864499575,1379.9309564546577
1,16,Aggregated,0.94,0.06,0.0,816.0155097123709,777.741130652048,815.2447910680819,804.2377140171675
1,17,Negative,0.0,0.02,0.98,82.24886892197799,80.74878244121967,79.78959669041984,82.01338642809941
1,18,Aggregated,0.85,0.15,0.0,1095.023662450012,1054.8992158181936,1080.9413027099554,1045.72196955252
1,19,Negative,0.01,0.01,0.98,69.76503075015347,70.52451285005765,68.14765276787392,68.44974890520507
1,20,Negative,0.0,0.0,1.0,61.92513383884193,64.043264277129,62.63774508255472,63.79384561037432
1,21,Aggregated,0.95,0.05,0.0,1119.3371394867472,1025.1929905018942,1136.2966077617762,1093.9572650641649
1,22,Aggregated,0.77,0.23,0.0,961.8468590373668,903.1389618366152,935.0200588661968,907.2484718632782
1,23,Negative,0.01,0.01,0.98,66.84314841248411,63.34303574467549,66.83734327021051,66.13504569283953
1,24,Negative,0.0,0.02,0.98,85.76464828975679,86.0745373180821,84.41272210944038,86.02679841956319
1,25,Aggregated,0.94,0.06,0.0,1266.49507273042,1185.274302676628,1296.2584841986577,1205.809858161398
1,26,Negative,0.0,0.02,0.98,67.2063550336272,67.69523785998436,66.2203889709491,65.13316219574847
1,27,Negative,0.02,0.0,0.98,67.91423756496161,68.3328178677042,68.19175227660298,67.18721763805027
1,28,Negative,0.0,0.02,0.98,68.9608752839724,69.81550326711692,68.52528750692005,69.10459145731312
1,29,Aggregated,0.95,0.04,0.01,863.6820554627006,760.9291859197119,827.262697572819,807.4468228230198
1,30,Negative,0.02,0.07,0.91,96.27519592373189,94.29598707440869,95.32364905666964,97.09112356173
1,31,Negative,0.0,0.0,1.0,67.651878753527,69.61355604092034,68.73960139709547,69.69948715834408
1,32,Negative,0.0,0.01,0.99,67.69496553252034,68.87666403168049,69.31156629728514,69.33539763749178
1,33,Aggregated,1.0,0.0,0.0,1434.5025144874044,1355.719826135199,1432.0694810104928,1390.592481128699
1,34,Negative,0.0,0.02,0.98,66.77391442469212,65.99198879848797,66.01952090692157,66.01012687891853
1,35,Negative,0.01,0.0,0.99,66.12162726615125,65.44635674659489,65.6522306503407,65.46544102258545
1,36,Homogenous,0.29,0.7,0.01,503.2512297667822,510.84892980580616,504.45671858975584,514.2570563752365
1,37,Negative,0.0,0.02,0.98,77.03622731769852,78.39837586728424,76.13544244669569,76.8888650624923
1,38,Aggregated,0.98,0.02,0.0,1590.856414281317,1502.1291403161022,1601.678208396928,1536.301311554611
1,39,Negative,0.0,0.0,1.0,69.24658699866353,67.31648691213829,67.28948621084939,68.2376186435626
1,40,Negative,0.01,0.02,0.97,67.04577869942199,67.91379022363762,69.60694628150773,67.72172057386825
1,41,Homogenous,0.09,0.88,0.03,300.46890491657905,299.3993910213187,303.2057884613787,298.76148074524986
1,42,Negative,0.0,0.0,1.0,68.28417132139194,68.01983950072616,66.6688466313623,66.75129231479863
1,43,Negative,0.0,0.02,0.98,72.6436938583908,74.31407997364707,72.80462562749852,74.18931621303062
1,44,Negative,0.04,0.15,0.81,127.98395521859692,121.54004880943351,123.38054801991616,125.62021858201922
1,45,Negative,0.0,0.0,1.0,64.7809880419916,64.8815333520557,64.19008775825131,64.95982254139406
