ImageNumber,ObjectNumber,Classify_Class,Classify_Probability_Aggregated,Classify_Probability_Homogenous,Classify_Probability_Negative,Texture_SumVariance_GFPInput_10_00_256,Texture_SumVariance_GFPInput_10_01_256,Texture_SumVariance_GFPInput_10_02_256,Texture_SumVariance_GFPInput_10_03_256
1,1,Negative,0.01,0.04,0.95,70.1184952556801,69.07409824193931,69.83587987769403,70.03702766817312
1,2,Negative,0.01,0.01,0.98,65.36871541591378,64.30000434056564,63.64292339575556,66.52609711910941
1,3,Negative,0.01,0.02,0.97,70.68488862984208,69.85563660748846,67.22286301356112,69.58548261989122
1,4,Negative,0.01,0.02,0.97,63.93185385439275,63.81763504714144,64.03322665345965,64.54631717599693
1,5,Negative,0.01,0.0,0.99,71.02805902300165,70.39154236720907,69.61896581331288,69.21404101561387
1,6,Negative,0.02,0.02,0.96,71.66357704428395,73.00447737198533,72.03410682733309,73.22761544474642
1,7,Negative,0.01,0.0,0.99,65.05805190951921,67.00359801553611,66.48837961919818,66.85530853272832
1,8,Negative,0.01,0.0,0.99,64.57980515784843,64.95873598796143,65.93638179367201,64.20286918542641
1,9,Negative,0.01,0.0,0.99,67.22706664190267,66.77699144374634,65.19098186620303,66.86718373773783
1,10,Negative,0.01,0.01,0.98,69.54537087345236,69.23222982299157,69.53365992420746,68.31906578232278
1,11,Negative,0.01,0.0,0.99,62.28728301994923,61.75262182051614,63.18578335166805,64.83458083243335
1,12,Negative,0.01,0.02,0.97,81.51310040423533,80.16731537963057,84.49846116062258,77.41963907100433
1,13,Negative,0.01,0.0,0.99,62.45190632817915,63.0901187560286,64.19884629159532,63.43663403945544
1,14,Negative,0.03,0.0,0.97,65.9698056368324,66.75866463987546,64.51281619891151,64.16307375779871
1,15,Negative,0.01,0.0,0.99,67.02354279132987,69.52797086342017,65.36254026836446,68.26233476544405
1,16,Negative,0.01,0.0,0.99,62.5792760848999,63.6496341758633,64.97983479516691,64.41553774686216
1,17,Negative,0.01,0.0,0.99,67.4417932980277,66.90307917698053,68.35988671097977,68.33025332023078
1,18,Negative,0.01,0.02,0.97,74.69825363621953,73.68045253772297,75.72039815785308,72.80736812923661
1,19,Negative,0.01,0.0,0.99,65.47401909561523,65.93818998678861,65.28456575691254,65.89791841356137
1,20,Negative,0.02,0.0,0.98,66.46999582677964,66.9578996578293,64.35470314137254,65.79515579859026
1,21,Negative,0.01,0.02,0.97,73.69534152686822,70.78834597042291,69.10681405994029,71.9546117221102
1,22,Negative,0.01,0.02,0.97,71.32795571685779,70.86528641907626,72.59459292347549,71.351070941328
1,23,Negative,0.01,0.0,0.99,69.2390888488992,68.56521955106496,68.59499972617394,69.07442771619918
1,24,Negative,0.01,0.02,0.97,66.55415998182903,69.00576933635472,68.30377199194433,69.19686060580159
1,25,Negative,0.01,0.0,0.99,66.52644199245347,64.57071451244514,65.96863086861686,65.80972092728632
1,26,Negative,0.01,0.0,0.99,66.13912360459065,66.67125313151351,66.33576772766747,66.97634064490282
1,27,Negative,0.01,0.0,0.99,67.24551653236281,66.78568752765844,68.04207816311691,67.85772503376768
1,28,Negative,0.01,0.0,0.99,67.42948993033988,65.57041841755631,65.85036417546513,64.60664860577074
1,29,Negative,0.01,0.02,0.97,72.96409250184652,73.6006664049732,72.64444913752362,74.67238602859254
