ImageNumber,ObjectNumber,Classify_Class,Classify_Probability_Aggregated,Classify_Probability_Homogenous,Classify_Probability_Negative,Texture_SumVariance_GFPInput_10_00_256,Texture_SumVariance_GFPInput_10_01_256,Texture_SumVariance_GFPInput_10_02_256,Texture_SumVariance_GFPInput_10_03_256
1,1,Negative,0.0,0.0,1.0,63.77781566213923,66.97945808245237,65.85391923561363,63.65242982420014
1,2,Negative,0.0,0.01,0.99,67.05055973347748,67.01397385291563,67.9096804399363,68.20398979064498
1,3,Negative,0.0,0.02,0.98,83.69071336573836,83.2514135845471,82.40096259566496,81.28546797889271
1,4,Aggregated,0.95,0.05,0.0,618.7425418329685,574.5787009614473,610.9790456074115,586.3544119086837
1,5,Negative,0.0,0.0,1.0,66.7098117920664,65.75954349739527,64.74040650159995,66.26255175370187
1,6,Aggregated,0.95,0.04,0.01,845.3307325671062,774.3221052140566,845.948099594455,789.999155394547
1,7,Negative,0.0,0.0,1.0,64.33601110531217,66.0879148488956,65.59361643450163,66.44013591843029
1,8,Homogenous,0.19,0.78,0.03,247.0601991532917,248.7081832527922,248.94405817194252,248.37121378085044
1,9,Aggregated,0.82,0.18,0.0,610.8216401509867,571.4016539816635,598.2022924053426,600.0117348442727
1,10,Aggregated,0.9,0.09,0.01,878.031289438577,820.7932550846845,867.2709771691248,802.7153437675752
1,11,Negative,0.0,0.0,1.0,67.6185973737947,68.5458730392782,68.34200173368086,69.47034495690096
1,12,Negative,0.01,0.0,0.99,67.02945746250066,69.20536948119727,69.9356050173316,68.21359195778263
1,13,Negative,0.0,0.0,1.0,69.8552255837838,68.87125561215171,72.00314537143979,69.89105162290244
1,14,Negative,0.0,0.01,0.99,69.5273386985692,70.91489293049298,69.17677311708343,69.69781229473722
1,15,Homogenous,0.13,0.84,0.03,283.73641075335377,285.9001207355939,285.05203736679096,284.11254741919583
1,16,Negative,0.0,0.02,0.98,74.69935878870467,77.88159996847497,75.31635426977803,75.75121010001811
1,17,Aggregated,0.98,0.02,0.0,792.753276175858,727.5761847559934,803.600224072004,746.5104323730443
1,18,Aggregated,0.78,0.21,0.01,674.0261702454104,612.4161774350523,640.6621491320707,619.2699731559246
1,19,Negative,0.01,0.0,0.99,67.4541313964504,67.97127832524578,65.6747119430363,66.50109590836416
1,20,Aggregated,0.99,0.01,0.0,1120.977737972913,989.1122679883638,1084.8362466697663,1061.9507801069017
1,21,Aggregated,0.99,0.01,0.0,1023.6929991047372,971.5162792100144,1029.3363777035895,940.2010153485336
1,22,Negative,0.0,0.02,0.98,67.8153554267794,69.92386614851884,69.09062017328944,70.80652262526243
1,23,Negative,0.0,0.0,1.0,73.17166359491773,70.670255232421,71.23691637458714,71.93223996337758
1,24,Negative,0.01,0.01,0.98,71.32578328656035,69.61409995929563,70.53166657741801,68.96374190574443
1,25,Negative,0.0,0.0,1.0,66.02705301656684,65.37808129400867,64.53901955675244,64.2694896944846
1,26,Aggregated,0.97,0.03,0.0,945.3448624284838,869.1644459722247,953.9312001986718,904.9587671007972
1,27,Negative,0.01,0.0,0.99,67.45936217283958,67.02863608811893,68.14197843518124,67.48077268762538
1,28,Negative,0.01,0.01,0.98,70.15032404646581,73.03265396316286,72.0419639814169,70.89507127014431
1,29,Negative,0.0,0.0,1.0,69.73499844532662,69.46447274574001,68.34551426468312,67.21972658260535
1,30,Negative,0.0,0.02,0.98,67.88124606773809,66.46160566685842,68.43518780162611,67.39236249929516
1,31,Negative,0.0,0.0,1.0,68.37372866570632,67.8225836366963,67.23675143622549,67.76384557835445
1,32,Homogenous,0.07,0.91,0.02,315.96973482209205,311.32442831987396,313.883292614737,316.4385560889739
1,33,Aggregated,0.97,0.03,0.0,865.7888082458876,790.7254325624463,838.6853635651692,813.100973210061
1,34,Homogenous,0.08,0.9,0.02,327.2144611339886,321.5252602490625,328.5686955474373,325.6080810533267
1,35,Negative,0.0,0.0,1.0,65.37084369331333,69.7079415294726,67.27634908482673,67.58466583452656
1,36,Homogenous,0.09,0.9,0.01,347.71661444715664,346.067302093938,345.5097217185257,343.68710321947424
1,37,Aggregated,0.98,0.02,0.0,1329.0381627375054,1221.372138160003,1299.3686479924063,1219.9083782089783
1,38,Aggregated,0.96,0.04,0.0,960.8862510568828,860.004423062006,902.3236203123406,890.4496105055687
1,39,Homogenous,0.08,0.91,0.01,328.41761702997655,329.9495312836284,327.16078574055587,327.54835622510427
1,40,Homogenous,0.07,0.9,0.03,325.9175191508816,331.7663012783312,330.78919691407054,327.1165266568371
1,41,Aggregated,0.99,0.01,0.0,942.8169302089518,866.1332886163054,912.0950086645848,835.059449220907
1,42,Aggregated,0.91,0.09,0.0,1033.1233097863333,953.698791708955,1033.3864712786751,982.0852711739884
1,43,Homogenous,0.08,0.91,0.01,323.0093619233055,323.3673828956014,326.5571680322689,322.3548689921797
1,44,Negative,0.0,0.0,1.0,70.16485324984242,71.67367585487847,71.99664577161909,72.51972540804215
1,45,Negative,0.0,0.01,0.99,65.8648202735871,65.79459097482243,66.65024732931587,66.52782958354126
1,46,Aggregated,0.92,0.08,0.0,1185.6620928000712,1066.0425826019737,1199.7079972692936,1109.80220140733
1,47,Negative,0.0,0.0,1.0,66.85278948941084,67.84813846884296,66.40392880704559,67.93658116588114
1,48,Negative,0.0,0.02,0.98,92.43676169834896,91.49427301037504,92.28760777317068,91.15709037566388
1,49,Aggregated,0.94,0.06,0.0,1455.4196191823844,1389.4201359710378,1479.9039655583238,1357.4409228388145
1,50,Negative,0.01,0.0,0.99,74.24565331058116,72.79586911311864,75.06527273002848,74.45003610361005
1,51,Negative,0.0,0.0,1.0,69.76737201361263,70.3897962670431,70.93649006292233,72.10218036778986
1,52,Aggregated,0.97,0.03,0.0,1026.7898898117685,944.2806520911364,1039.5717667180706,947.84839490771
1,53,Negative,0.0,0.0,1.0,68.77977835831453,66.08866532518246,67.19729392613038,65.78043310434893
1,54,Homogenous,0.16,0.82,0.02,267.53064902046435,270.2242551287527,270.53465654036677,271.5435843089599
