ImageNumber,ObjectNumber,Classify_Class,Classify_Probability_Aggregated,Classify_Probability_Homogenous,Classify_Probability_Negative,Texture_SumVariance_GFPInput_10_00_256,Texture_SumVariance_GFPInput_10_01_256,Texture_SumVariance_GFPInput_10_02_256,Texture_SumVariance_GFPInput_10_03_256
1,1,Negative,0.0,0.02,0.98,78.93529211272721,80.29451539616196,81.22742508531792,79.65179650795153
1,2,Negative,0.01,0.02,0.97,90.14028256361512,92.99089116263224,90.4368026169858,92.18996319058596
1,3,Negative,0.01,0.02,0.97,92.22449569797637,92.9328057815897,90.85111505521246,93.80623256603916
1,4,Negative,0.06,0.12,0.82,105.88449255021112,106.87201816488071,105.8756644044194,105.02267870178304
1,5,Negative,0.01,0.02,0.97,85.24924604877248,84.8876187848835,85.28016970767413,86.71427088949093
1,6,Negative,0.01,0.04,0.95,93.16582198223772,94.6450358671848,96.04298022476934,92.93297283744636
1,7,Negative,0.0,0.02,0.98,85.31857348253101,85.56185211743167,85.28872330131804,85.72523997888851
1,8,Negative,0.01,0.03,0.96,93.23033017937058,91.6491890190656,93.309337604951,89.77115791708007
1,9,Negative,0.01,0.02,0.97,84.64465172812174,83.29616192831725,84.93178638654354,83.44312345175979
1,10,Negative,0.04,0.09,0.87,112.52387363477489,114.34525072411684,114.26202339361691,114.22628830945644
1,11,Negative,0.03,0.09,0.88,109.12054816505788,109.56997726303422,109.34599804901302,110.69953395819266
1,12,Negative,0.01,0.02,0.97,94.25187805260384,94.3820161618666,94.0150138041372,95.72732476112412
1,13,Negative,0.01,0.02,0.97,90.813999028902,91.63581173668018,95.48101572725,91.31295509186792
1,14,Negative,0.01,0.02,0.97,89.67404546924752,89.90896048296241,89.00230658896874,90.64428623717282
1,15,Negative,0.01,0.02,0.97,91.6815928796446,92.32396616655342,91.5497749102226,92.19138606480874
1,16,Negative,0.01,0.02,0.97,89.2781006714689,86.36895117907949,89.87107352661059,87.18663792183219
1,17,Negative,0.01,0.02,0.97,91.50512057641146,92.1188268766229,93.06228761735048,91.29680032447352
1,18,Negative,0.01,0.02,0.97,94.28605830701524,96.02922715597578,92.3364473046554,94.40687758210731
1,19,Negative,0.01,0.02,0.97,92.51303556689874,94.31999803053212,92.7473138919106,92.10942754365334
1,20,Negative,0.05,0.15,0.8,119.30549076367544,117.49879337804998,117.51343634216562,119.02238781075135
1,21,Negative,0.01,0.02,0.97,100.3406930632417,99.78413869346844,97.96353086472249,99.01829555358938
1,22,Negative,0.03,0.09,0.88,109.70724824279596,112.3423167625541,110.32207451099411,109.88792465462603
1,23,Negative,0.02,0.02,0.96,89.61760840334881,88.77829250004083,87.92890255100298,88.65465093197054
1,24,Negative,0.03,0.09,0.88,111.25296701098095,112.6698995730797,112.16501120350972,113.31475132757652
1,25,Negative,0.01,0.02,0.97,93.4452817744471,93.53730937232108,93.93839082601812,93.4059128697258
1,26,Negative,0.01,0.02,0.97,98.18696282135149,97.13221987321572,98.1763939943924,98.6352167890456
1,27,Negative,0.03,0.14,0.83,118.29246722561572,118.74976899005134,121.48161389552187,122.13419633843256
1,28,Negative,0.01,0.02,0.97,94.07916212205646,92.97271228682229,95.46182532004052,94.28535692876945
1,29,Negative,0.02,0.02,0.96,96.33269445970484,94.37404520469818,95.1357754535673,94.8984333368283
1,30,Negative,0.03,0.09,0.88,104.0776642999548,104.87165440480226,104.61485154669543,105.77695942533046
1,31,Negative,0.01,0.04,0.95,99.00979646748164,98.77963593163992,97.7666553736458,98.88705874132006
1,32,Negative,0.02,0.02,0.96,92.53792895774784,93.0056948986002,91.78141254762244,90.85181621519764
1,33,Negative,0.01,0.02,0.97,96.94158148162694,98.20209479178004,96.79353437457551,98.096099975581
1,34,Negative,0.01,0.02,0.97,93.79031378470056,94.95262534284512,95.12122423993912,95.94161243937066
1,35,Negative,0.03,0.11,0.86,112.00357822199128,113.24115379343608,111.16154152449764,111.43422896671905
1,36,Negative,0.01,0.02,0.97,94.7812794614686,95.56065638619822,93.42250150693305,96.97013664183828
1,37,Negative,0.01,0.02,0.97,91.19558342366872,92.50525951997103,89.91899660992425,88.66891095464007
1,38,Negative,0.02,0.02,0.96,93.69075697489126,95.7921843649737,96.75400871647064,96.6555086759231
1,39,Negative,0.0,0.02,0.98,93.65592489733814,95.26870688200124,96.3372037878462,95.04335002836216
1,40,Negative,0.0,0.02,0.98,99.65664470644492,97.3669483190418,97.30295236655265,99.80516340186762
