Metal,Antibiotic,Concentration,Day,Negative,Aggregated,Homogenous,All Droplets,Aggregated%,Homogenous%,Negative%,Concentration_numeric
Lithium,CEFO,0,0,1003,552,234,1789,30.855226383454443,13.079932923420905,56.06484069312465,0.0
Lithium,CEFO,0,9,1255,146,459,1860,7.849462365591398,24.677419354838708,67.47311827956989,0.0
Lithium,CEFO,0.008,0,839,472,228,1539,30.669265756985055,14.814814814814813,54.515919428200135,0.008
Lithium,CEFO,0.008,9,2148,7,6,2161,0.3239241092086997,0.2776492364645997,99.3984266543267,0.008
Lithium,CEFO,0.01,0,987,747,383,2117,35.28578176665092,18.091639111950876,46.6225791213982,0.01
Lithium,CEFO,0.01,9,1878,0,2,1880,0.0,0.10638297872340426,99.8936170212766,0.01
Lithium,CEFO,0.013,0,1364,260,234,1858,13.993541442411194,12.594187298170075,73.41227125941873,0.013
Lithium,CEFO,0.013,9,1634,6,41,1681,0.3569303985722784,2.4390243902439024,97.20404521118382,0.013
Lithium,CEFO,0.018,0,2075,23,20,2118,1.0859301227573182,0.9442870632672332,97.96978281397544,0.018
Lithium,CEFO,0.018,9,1913,14,33,1960,0.7142857142857143,1.683673469387755,97.60204081632654,0.018
Lithium,CEFO,0.024,0,1762,1,0,1763,0.05672149744753262,0.0,99.94327850255247,0.024
Lithium,CEFO,0.024,9,1940,0,1,1941,0.0,0.05151983513652757,99.94848016486347,0.024
Lithium,CEFO,0.032,0,1775,0,0,1775,0.0,0.0,100.0,0.032
Lithium,CEFO,0.032,9,1997,0,0,1997,0.0,0.0,100.0,0.032
Lithium,CEFO,0.042,0,1979,0,0,1979,0.0,0.0,100.0,0.042
Lithium,CEFO,0.042,9,1349,0,0,1349,0.0,0.0,100.0,0.042
Lithium,CEFO,0.056,0,2157,0,0,2157,0.0,0.0,100.0,0.056
Lithium,CEFO,0.056,9,2464,0,1,2465,0.0,0.04056795131845842,99.95943204868153,0.056
Lithium,CEFO,0.075,0,2149,0,0,2149,0.0,0.0,100.0,0.075
Lithium,CEFO,0.075,9,2113,0,0,2113,0.0,0.0,100.0,0.075
Lithium,KAN,0,0,956,367,173,1496,24.532085561497325,11.564171122994653,63.903743315508024,0.0
Lithium,KAN,0,9,1212,191,424,1827,10.454296661193213,23.20744389709907,66.33825944170772,0.0
Lithium,KAN,0.05,0,792,512,214,1518,33.72859025032938,14.09749670619236,52.17391304347826,0.05
Lithium,KAN,0.05,9,932,132,341,1405,9.395017793594306,24.27046263345196,66.33451957295374,0.05
Lithium,KAN,0.084,0,1194,780,335,2309,33.78085751407536,14.508445214378519,51.710697271546124,0.084
Lithium,KAN,0.084,9,1299,201,407,1907,10.540115364446775,21.342422653382275,68.11746198217095,0.084
Lithium,KAN,0.14,0,1224,648,229,2101,30.842455973346027,10.899571632555926,58.25797239409805,0.14
Lithium,KAN,0.14,9,1464,199,540,2203,9.033136631865638,24.51202905129369,66.45483431684067,0.14
Lithium,KAN,0.233,0,1005,795,262,2062,38.554801163918526,12.70611057225994,48.739088263821536,0.233
Lithium,KAN,0.233,9,1345,163,427,1935,8.423772609819121,22.0671834625323,69.50904392764858,0.233
Lithium,KAN,0.389,0,610,368,146,1124,32.74021352313167,12.98932384341637,54.270462633451956,0.389
Lithium,KAN,0.389,9,1187,164,407,1758,9.328782707622297,23.151308304891923,67.51990898748578,0.389
Lithium,KAN,0.648,0,1312,732,220,2264,32.332155477031804,9.717314487632509,57.95053003533569,0.648
Lithium,KAN,0.648,9,2075,2,10,2087,0.09583133684714902,0.4791566842357451,99.42501197891711,0.648
Lithium,KAN,1.08,0,2160,264,32,2456,10.749185667752444,1.3029315960912053,87.94788273615634,1.08
Lithium,KAN,1.08,9,2057,1,1,2059,0.04856726566294317,0.04856726566294317,99.90286546867412,1.08
Lithium,KAN,1.8,0,2178,0,1,2179,0.0,0.04589261128958238,99.95410738871043,1.8
Lithium,KAN,1.8,9,1518,0,0,1518,0.0,0.0,100.0,1.8
Lithium,KAN,3,0,1601,0,0,1601,0.0,0.0,100.0,3.0
Lithium,KAN,3,9,1493,0,0,1493,0.0,0.0,100.0,3.0
Zinc,CEFO,0,0,1319,483,236,2038,23.699705593719333,11.579980372914623,64.72031403336604,0.0
Zinc,CEFO,0,9,1220,394,614,2228,17.684021543985637,27.55834829443447,54.7576301615799,0.0
Zinc,CEFO,0.008,0,1196,523,250,1969,26.561706449974608,12.696800406297612,60.74149314372777,0.008
Zinc,CEFO,0.008,9,1227,731,120,2078,35.17805582290664,5.7747834456207885,59.04716073147257,0.008
Zinc,CEFO,0.01,0,1278,489,244,2011,24.316260566882146,12.133267031327698,63.55047240179016,0.01
Zinc,CEFO,0.01,9,1027,645,99,1771,36.42010163749294,5.590062111801243,57.98983625070582,0.01
Zinc,CEFO,0.013,0,1114,428,214,1756,24.373576309794988,12.186788154897494,63.43963553530752,0.013
Zinc,CEFO,0.013,9,1095,528,261,1884,28.02547770700637,13.853503184713375,58.12101910828026,0.013
Zinc,CEFO,0.018,0,1628,181,185,1994,9.077231695085256,9.277833500501504,81.64493480441324,0.018
Zinc,CEFO,0.018,9,1360,381,309,2050,18.585365853658537,15.073170731707316,66.34146341463415,0.018
Zinc,CEFO,0.024,0,1855,11,48,1914,0.5747126436781609,2.507836990595611,96.91745036572624,0.024
Zinc,CEFO,0.024,9,2166,0,4,2170,0.0,0.18433179723502305,99.81566820276497,0.024
Zinc,CEFO,0.032,0,2244,31,51,2326,1.3327601031814273,2.1926053310404128,96.47463456577816,0.032
Zinc,CEFO,0.032,9,1955,0,0,1955,0.0,0.0,100.0,0.032
Zinc,CEFO,0.042,0,2096,5,5,2106,0.23741690408357075,0.23741690408357075,99.52516619183285,0.042
Zinc,CEFO,0.042,9,2168,0,1,2169,0.0,0.04610419548178884,99.95389580451821,0.042
Zinc,CEFO,0.056,0,2147,0,0,2147,0.0,0.0,100.0,0.056
Zinc,CEFO,0.056,9,2133,0,0,2133,0.0,0.0,100.0,0.056
Zinc,CEFO,0.075,0,2432,0,0,2432,0.0,0.0,100.0,0.075
Zinc,CEFO,0.075,9,2092,0,0,2092,0.0,0.0,100.0,0.075
Zinc,KAN,0,0,1656,581,332,2569,22.615803814713896,12.9233164655508,64.4608797197353,0.0
Zinc,KAN,0,9,773,435,300,1508,28.846153846153843,19.893899204244033,51.25994694960212,0.0
Zinc,KAN,0.05,0,1245,474,213,1932,24.53416149068323,11.024844720496894,64.44099378881988,0.05
Zinc,KAN,0.05,9,1023,374,438,1835,20.381471389645778,23.869209809264305,55.74931880108992,0.05
